位置,商品,价格,成交量,卖家,销售额
江苏,新款中老年女装春装雪纺打底衫妈妈装夏装中袖宽松上衣中年人t恤,99.0,16647,夏奈凤凰旗舰店,1648053.0
上海,中老年女装清凉两件套妈妈装夏装大码短袖T恤上衣雪纺衫裙裤套装,286.0,14045,夏洛特的文艺,4016870.0
江苏,母亲节衣服夏季妈妈装夏装套装短袖中年人40-50岁中老年女装T恤,298.0,13458,云新旗舰店,4010484.0
浙江,母亲节衣服中老年人春装女40岁50中年妈妈装套装夏装奶奶装两件套,279.0,13340,韶妃旗舰店,3721860.0
江苏,中老年女装春夏装裤大码 中年妇女40-50岁妈妈装夏装套装七分裤,59.0,12939,千百奈旗舰店,763401.0
江苏,中老年女装夏装短袖T恤40-50岁中年春装30打底衫妈妈装母亲节衣服,198.0,12664,依安雅旗舰店,2507472.0
湖北,妈妈装春夏装T恤宽松雪纺衬衫40-50岁中老年女装大码中袖上衣套装,199.0,12398,千百萌旗舰店,2467202.0
江苏,中老年女装夏季T恤雪纺衫妈妈装夏装套装短袖中年妇女40-50岁t恤,288.0,12087,zxtvszml,3481056.0
江苏,妈妈夏装两件套母亲节衣服老人上衣60-70岁人夏季中老年女装套装,298.0,11655,ceo放牛,3473190.0
上海,中老年女装夏装套装圆领上衣裤子夏季中年妈妈装短袖T恤两件套,189.0,11632,简港旗舰店,2198448.0
浙江,母亲节衣服夏季中年女装春装套装40-50岁妈妈装外套中老年人上衣,258.0,11568,朵莹旗舰店,2984544.0
江苏,母亲节衣服中老年人女装奶奶短袖两件套中年40岁胖妈妈装夏装套装,177.0,11125,依诗曼妮,1969125.0
江苏,母亲节中老年女装短袖t恤40-50岁中年妈妈装夏装套装上衣两件套,298.0,10366,夕牧旗舰店,3089068.0
江苏,母亲节中老年女装短袖t恤40-50岁中年妈妈装夏装雪纺两件套装,124.0,9113,绰美佳人旗舰店,1130012.0
浙江,中老年女装春装真两件套长袖针织开衫外套妈妈装夏装短袖T恤上衣,138.0,9060,冉献兵,1250280.0
江苏,母亲节衣服夏季中年女装夏装短袖40-50岁妈妈装中老年女装连衣裙,298.0,8843,蒲洛妃旗舰店,2635214.0
湖北,母亲节妈妈夏装套装中老年雪纺衫中年女春装阔腿裤两件套40岁衣服,318.0,8580,薇诗琪旗舰店,2728440.0
江苏,中老年人女装妈妈装夏装大码短袖T恤中年妇女夏季40-50岁新款上衣,298.0,8319,网罗世间物,2479062.0
江苏,中老年人女装套装妈妈装夏装大码奶奶装40-50岁60短袖T恤70两件套,399.0,8072,玛依恋旗舰店,3220728.0
河北,中老年女裤夏装薄款中年松紧高腰九分裤老年人宽松大码妈妈裤子女,129.0,7675,loueddssd倍艾旗舰店,990075.0
江苏,中老年女装七分袖衬衫妈妈装夏装衬衣50岁老年人母亲节夏季衣服40,189.0,7619,纳笛佳女装旗舰店,1439991.0
上海,母亲节衣服夏季中老年女装夏装套装上衣40-50岁妈妈装T恤衫两件套,198.0,7466,简港旗舰店,1478268.0
浙江,中老年女装半袖妈妈装春装短款打底雪纺小衫中年人夏装长袖上衣服,588.0,7166,潮流前线9170,4213608.0
浙江,母亲节衣服夏季妈妈夏装中老年女装中年雪纺衫阔腿裤两件套装40岁,263.0,7147,胖织缘福旗舰店,1879661.0
浙江,母亲节衣服夏季妈妈夏装上衣中年短袖t恤40-50岁中老年人女装套装,198.0,7077,卧雪旗舰店,1401246.0
江苏,妈妈夏装套装40-50岁中年人两件套中老年女装雪纺短袖t恤上衣裤子,399.0,7046,衣之绒旗舰店,2811354.0
江苏,母亲节中老年女装春装套装妈妈装上衣+裤子中年人T恤夏装两件套装,128.0,7002,康乃馨老年装,896256.0
江苏,母亲节衣服妈妈装夏装雪纺套装中老年女装40-50岁短袖修身大码T恤,396.0,6929,妈咪衣橱纺,2743884.0
江苏,妈妈装套装春夏装短袖上衣中年人大码40-50岁中老年女装T恤雪纺衫,49.0,6816,爱莱嘉旗舰店,333984.0
江苏,中老年女装妈妈装夏装中年两件套装40-50岁印花套装老年人夏装t恤,108.0,6795,高康洁,733860.0
江苏,母亲节衣服夏季中老年女装夏装套装中年40-50岁妈妈装短袖两件套,108.0,6755,蒲洛妃旗舰店,729540.0
江苏,妈妈夏装套装40岁中老年女装春装中年连衣裙两件套母亲节衣服夏季,298.0,6270,悦薇孔雀旗舰店,1868460.0
江苏,中老年女装夏装短袖套装中年人T恤40-50岁妈妈装两件套母亲节衣服,198.0,6262,摩尼树旗舰店,1239876.0
江苏,母亲节中老年人女装胖妈妈装夏装中年短袖50-60-70岁衣服奶奶套装,148.0,6224,梵忆轩旗舰店,921152.0
河北,中老年女裤春秋宽松大码女装老年人松紧高腰长裤中年妈妈裤子女夏,198.0,6168,loueddssd倍艾旗舰店,1221264.0
江苏,母亲节衣服夏季套装中老年女装夏装中年40-50岁妈妈装短袖两件套,258.0,6085,蒲洛妃旗舰店,1569930.0
上海,母亲节衣服妈妈装夏装套装40-50岁中年两件套中老年女装短袖雪纺,138.0,6037,妃莲慕旗舰店,833106.0
河南,夏季薄款中老年女裤松紧腰九分裤宽松休闲裤中年妈妈裤子女老年人,119.0,5986,z昊铭么么哒666,712334.0
浙江,中年妈妈装夏装套装中老年人女装春装上衣裤子两件套奶奶夏季短袖,558.0,5918,发财花旗舰店,3302244.0
浙江,中老年女装夏装套装妈妈装两件套雪纺衫中年春装T恤母亲节上衣服,236.0,5908,香颜旗舰店,1394288.0
浙江,母亲节中年女装春装套装40-50岁妈妈装夏装短袖t恤中老年人上衣潮,228.0,5834,朵莹旗舰店,1330152.0
江苏,中老年女装短袖夏装雪纺袖妈妈装套装中年人上衣+裤子T恤两件套装,109.0,5746,雅之韵妈妈装,626314.0
浙江,中老年女夏装妈妈装奶奶宽松亚麻短袖T恤上衣裤子两件套棉麻套装,198.0,5647,妈妈之美服饰,1118106.0
江苏,妈妈装夏装套装短袖中年人大码40-50岁中老年女装T恤雪纺衫两件套,168.0,5641,wuweihua0809,947688.0
江苏,母亲节衣服中老年女装夏装新款棉麻套装妈妈装短袖上衣阔腿裤大码,198.0,5611,永酷相衣,1110978.0
浙江,中老年人女装夏装妈妈装套装短袖上衣中年七分裤子大码运动两件套,128.0,5603,showcai谷川专卖店,717184.0
浙江,母亲节衣服妈妈装两件套短袖夏装中老年女装套装T恤40-50岁雪纺衫,168.0,5580,陌小柒服饰旗舰店,937440.0
江苏,中年女妈妈夏装套装短袖t恤雪纺衫中老年套装两件套女母亲节衣服,228.0,5506,名瑾旗舰店,1255368.0
江苏,中老年人女装套装夏装妈妈装套装60-70-80岁老奶奶短袖上衣七分裤,198.0,5348,kewang5188,1058904.0
上海,中老年女装夏装套装加肥加大码T恤上衣妈妈装时尚短袖夏季两件套,298.0,5325,简港旗舰店,1586850.0
上海,中老年女装夏装连衣裙中年雪纺上衣妈妈装中长款40-50岁大码裙子,198.0,5304,婆家娘家商城,1050192.0
江苏,母亲节衣服夏季中年女装夏装2017新款上衣雪纺衫妈妈40-50岁套装,398.0,5210,尼罗鹤旗舰店,2073580.0
北京,新款妈妈装连衣裙中长款短袖夏装中年妇女40-50大码气质打底裙子,168.0,5209,凯飞服饰1717,875112.0
浙江,妈妈夏装套装t恤中年女装春装雪纺衫+阔腿裤老年两件套新款40岁50,698.0,5197,简狐旗舰店,3627506.0
浙江,母亲节中老年女装40-50岁妈妈装夏装中年t恤短袖上衣衣服春装套装,109.0,5187,mitchsheeps旗舰店,565383.0
浙江,母亲节衣服中老年女装春装40-50岁中年女上衣T恤妈妈装夏装打底衫,198.0,5171,爱米雪旗舰店,1023858.0
广东,妈妈装春装大码女装雪纺连衣裙开衫女2017夏装新款中老年两件套装,326.0,5164,安静式风格,1683464.0
湖北,母亲节上衣服夏季中年妈妈春装雪纺衫夏装短袖中老年女装大码外套,256.0,5005,乔芙丽旗舰店,1281280.0
湖北,妈妈装春夏装雪纺衫大码中老年女装上衣中长袖t恤中年人打底衬衫,158.0,5001,千香旗舰店,790158.0
江苏,中老年人女装夏装短袖t恤妈妈两件套装中年夏季上衣宽松40-50岁,96.0,4961,金星靓雅服装店,476256.0
浙江,母亲节妈妈夏装T恤40-50岁中年女装两件套装2017新款中老年人衣服,228.0,4925,苏米唐旗舰店,1122900.0
江苏,中老年女装夏装套装棉麻两件套中年妈妈装短袖T恤 奶奶装上衣裤子,528.0,4923,歌迪凤凰旗舰店,2599344.0
江苏,母亲节妈妈装夏装套装雪纺假两件中老年女装中年40-50两件套短袖,299.0,4899,美妮辰旗舰店,1464801.0
江苏,中老年女装夏装套装 妈妈装夏季短袖T恤大码上衣老年人宽松两件套,398.0,4761,时尚_miss,1894878.0
上海,中老年人女装套装妈妈装夏装大码奶奶装40-50岁60短袖T恤70两件套,29.0,4752,佳福妈妈商城,137808.0
上海,母亲节衣服妈妈装夏装套装短袖中年人40-50岁中老年女装T恤两件套,128.0,4718,妃莲慕旗舰店,603904.0
浙江,母亲节衣服中老年女装宽松上衣中年妈妈夏装短袖t恤40-50岁套装60,318.0,4695,拓芙尼旗舰店,1493010.0
浙江,母亲节衣服妈妈夏装短袖套装中老年人女装两件套奶奶宽松大码春装,349.0,4656,拓芙尼旗舰店,1624944.0
上海,中老年女装夏装短袖t恤衫中年妇女母亲节衣服妈妈装雪纺套装上衣,99.0,4572,xudong158,452628.0
江苏,中老年女装套装妈妈装夏装大码奶奶装50-6070岁棉麻短袖上衣+裤子,188.0,4560,白衣不倾城,857280.0
浙江,母亲节衣服夏季中年女装春装40-50岁60妈妈装夏装套装中老年人t恤,320.0,4555,朵莹旗舰店,1457600.0
江苏,中老年人女装夏装套装60-70-80岁老人衣服奶奶装夏季中袖上衣裤子,318.0,4512,晨旭服饰678,1434816.0
浙江,妈妈夏装套装女40-50岁2017新款母亲节衣服中老年春装短袖t恤上衣,177.0,4502,步古旗舰店,796854.0
北京,新款中老年女装夏季长袖妈妈装衬衫女T恤大码纯色夏装修身春装薄,288.0,4500,妈妈装工厂店1988,1296000.0
江苏,妈妈装夏装套装40-50岁中老年女装短袖t恤运动上衣+裤子真两件套,218.0,4482,第二号鞋铺,977076.0
北京,中老年女装绵绸连衣裙40-50岁中年妈妈装短袖大码修身碎花裙子夏,138.0,4460,hi大脚丫,615480.0
江苏,中老年女装短袖T恤套装春装打底衫T恤长袖中年妈妈装上衣宽松上衣,59.9,4421,便宜才是硬道理1234,264817.89999999997
北京,母亲节夏季中老年宽松短袖妇女胖妈妈装上衣加肥加大码碎花T恤女,108.0,4415,wonwon942,476820.0
江苏,胖妈妈装夏装短袖中年女装大码夏季棉麻上衣中老年T恤母亲节衣服,298.0,4382,伊秋芙旗舰店,1305836.0
江苏,中老年人女妈妈春夏装套装60-70-80岁奶奶装七分袖上衣裤子两件套,98.0,4382,孝义妈妈装,429436.0
浙江,中老年女装妈妈装短袖雪纺衫大码宽松40-50岁上衣17夏装新品T恤衫,190.0,4365,芭蒂卡旗舰店,829350.0
江苏,中老年女装夏装假两件短袖雪纺衫40-50岁妈妈装上衣 中年女士套装,88.0,4365,江苏妈妈装厂家直销,384120.0
浙江,母亲节妈妈装夏装真丝T恤中老年女装短袖上衣服中年女桑蚕丝衬衫,316.0,4314,香颜旗舰店,1363224.0
河北,中老年女裤春夏季高腰妈妈裤子松紧腰大码女装九分裤宽松休闲女裤,129.0,4309,艾尔梦艺娜旗舰店,555861.0
江苏,中年妈妈装夏装两件套装中老年女装短袖雪纺衫t恤新款上衣40-50岁,116.0,4275,金星靓雅服装店,495900.0
北京,女装中年连衣裙夏季妈妈装35-50岁中老年连衣裙中长款碎花裙子,100.0,4271,taylor3699,427100.0
北京,新母亲节妈妈夏装短袖 中老年T恤衫宽松牛奶丝上衣圆领印花短袖,98.0,4261,bobolove987,417578.0
浙江,香颜妈妈装春装连衣裙中老年女装夏装两件套雪纺衫中年套装裙子,252.0,4249,香颜旗舰店,1070748.0
上海,母亲节中老年女装夏装短袖40-50岁雪纺衫大码妈妈装T恤宽上衣套装,49.0,4164,金良国际,204036.0
江苏,中老年女装春夏装套装短袖T恤妈妈装长袖蕾丝连衣裙40-50岁两件套,108.0,4163,依人怡慧no1,449604.0
江苏,中年妈妈装夏装短袖t恤两件套装中老年女装中袖雪纺衫40-50岁上衣,116.0,4153,金星靓雅服装店,481748.0
湖北,母亲节衣服妈妈夏装雪纺连衣裙40岁50中年短袖中老年女装夏季裙子,306.0,4138,sonmellny尚曼妮旗舰店,1266228.0
浙江,母亲节衣服夏季中年女装连衣裙中长款裙子中老年妈妈装夏装40岁50,275.0,4129,浅恋旗舰店,1135475.0
湖北,中老年女夏装上衣短袖雪纺衬衫40-50岁大码胖妈妈装T恤母亲节衣服,178.0,4111,凯利娜格旗舰店,731758.0
浙江,妈妈装春装外套 中年人40-50岁上衣中老年女装2017夏装新款两件套,398.0,4054,qianyaofushi888,1613492.0
湖北,母亲节中老年女装运动服套装中年妈妈春装外套40岁50衣服2017新款,368.0,4041,欧芮嘉旗舰店,1487088.0
浙江,母亲节衣服中年妈妈装夏装短袖套装30中老年女装春装雪纺衫40岁50,181.0,4023,浅恋旗舰店,728163.0
浙江,母亲节妈妈装夏装套装女40-50岁夏季衣服两件套中老年春装连衣裙,195.0,4000,若澜锦蒂旗舰店,780000.0
江苏,母亲节衣服夏季中老年女装夏装短袖套装雪纺衫T恤妈妈装两件套,498.0,3968,蕴涵旗舰店,1976064.0
浙江,中老年女装春装t恤纱袖针织衫40-50岁妈妈装七分袖上衣夏装打底衫,688.0,3956,潮流前线9170,2721728.0
